device location,device type,accuracy value,first seen date,most recent date accessed,temperature,highest value,highest date,lowest value,lowest date
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:13:56,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:13:57,28.9375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:13:58,35.3125,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:13:58,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:13:59,29.5,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:01,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:02,29.125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:03,35.5,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:03,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:04,29.6875,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:06,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:07,29.25,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:08,35.625,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:09,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:09,29.8125,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:11,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:12,29.3125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:13,35.75,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:14,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:14,29.9375,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:16,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:17,29.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:18,35.875,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:19,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:19,30.0,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:21,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:22,29.5,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:23,36.0625,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:24,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:24,30.0,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:26,18.1875,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:27,29.5625,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/16-18:14:28,36.1875,43.5,2023/01/16-18:10:52,24.9375,2023/01/16-18:10:52
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/16-18:14:29,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/16-18:14:29,30.0625,46.1875,2023/01/16-18:10:52,19.9375,2023/01/16-18:10:52
