Name,Temp,Time
HVAC return air,18.25,2023/01/17-09:20:36
HVAC return air,18.25,2023/01/17-09:20:41
HVAC return air,18.25,2023/01/17-09:20:46
HVAC return air,18.25,2023/01/17-09:20:51
HVAC return air,18.25,2023/01/17-09:20:56
HVAC return air,18.25,2023/01/17-09:21:01
HVAC return air,18.25,2023/01/17-09:21:06
HVAC return air,18.25,2023/01/17-09:21:11
HVAC return air,18.25,2023/01/17-09:21:16
HVAC return air,18.25,2023/01/17-09:21:21
HVAC return air,18.25,2023/01/17-09:21:26
HVAC return air,18.25,2023/01/17-09:21:31
HVAC return air,18.25,2023/01/17-09:21:36
HVAC return air,18.25,2023/01/17-09:21:41
HVAC return air,18.25,2023/01/17-09:21:46
HVAC return air,18.25,2023/01/17-09:21:51
HVAC return air,18.25,2023/01/17-09:21:56
HVAC return air,18.25,2023/01/17-09:22:01
HVAC return air,18.25,2023/01/17-09:22:06
HVAC return air,18.25,2023/01/17-09:22:11
HVAC return air,18.25,2023/01/17-09:22:16
HVAC return air,18.25,2023/01/17-09:22:21
HVAC return air,18.25,2023/01/17-09:22:26
HVAC return air,18.1875,2023/01/17-09:22:31
HVAC return air,18.25,2023/01/17-09:22:36
HVAC return air,18.25,2023/01/17-09:22:41
HVAC return air,18.1875,2023/01/17-09:22:46
HVAC return air,18.1875,2023/01/17-09:22:51
HVAC return air,18.1875,2023/01/17-09:22:57
HVAC return air,18.1875,2023/01/17-09:23:02
HVAC return air,18.1875,2023/01/17-09:23:07
HVAC return air,18.1875,2023/01/17-09:23:12
HVAC return air,18.25,2023/01/17-09:23:17
HVAC return air,18.1875,2023/01/17-09:23:22
HVAC return air,18.1875,2023/01/17-09:23:27
HVAC return air,18.1875,2023/01/17-09:23:32
HVAC return air,18.1875,2023/01/17-09:23:37
HVAC return air,18.1875,2023/01/17-09:23:42
HVAC return air,18.1875,2023/01/17-09:23:47
HVAC return air,18.1875,2023/01/17-09:23:52
HVAC return air,18.1875,2023/01/17-09:23:57
HVAC return air,18.1875,2023/01/17-09:24:02
HVAC return air,18.1875,2023/01/17-09:24:07
HVAC return air,18.1875,2023/01/17-09:24:12
